"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0403000;"Powiat bydgoski";286259;273423;334110;376864;;157147;155863;210375;203180;;250212;214906;308002;287696;;325888;341022;397083;406362;;499668;0;0;501677;;171755;197332;243675;260799;;99094;110792;125531;125129;;149741;166287;193583;191360;;219867;267893;304300;318036;;411500;379144;441233;510737;;
0404000;"Powiat chełmiński";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;123296;137253;156096;160345;;87508;94354;112584;101541;;120135;140530;155340;187879;;222000;185212;221429;206018;;197000;199800;238950;255300;;
0405000;"Powiat golubsko-dobrzyński";166758;0;0;200613;;0;0;0;0;;170021;0;0;0;;0;0;0;0;;0;0;0;0;;108366;139503;141199;168739;;64113;89443;76400;100320;;136343;138514;157769;189949;;151488;202737;157941;216368;;0;0;0;169200;;
0406000;"Powiat grudziądzki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;88251;87737;89992;187874;;64137;63125;61529;74730;;87043;86271;93363;107960;;119273;97636;108483;179269;;0;134167;110000;421833;;
0407000;"Powiat inowrocławski";267750;293255;274064;312344;;150216;141000;164200;195677;;227583;267203;258309;280702;;319908;367111;391207;343798;;455608;427183;686462;529569;;141208;165030;182343;210392;;104273;107142;135738;142775;;145807;175467;193231;207761;;184748;220167;226096;278864;;198289;261472;271631;330143;;
0408000;"Powiat lipnowski";0;199527;0;0;;0;114389;0;0;;0;196271;0;0;;0;255821;0;0;;0;0;0;0;;92029;96076;107588;128277;;48875;70538;65076;76944;;101176;101125;117398;132018;;159900;137000;125249;167338;;0;145833;0;264333;;
0409000;"Powiat mogileński";199167;200388;191838;0;;0;0;104267;0;;0;174750;177250;0;;203640;204187;225233;0;;0;0;262650;0;;111776;131672;139359;139755;;67689;88000;105892;87667;;110599;116612;143643;139578;;159550;171739;215500;168771;;0;0;0;263168;;
0410000;"Powiat nakielski";184744;210882;226836;244678;;126950;126138;144178;161012;;180441;206108;225162;235270;;226376;245209;269683;288977;;0;0;0;0;;126331;136571;156407;170496;;86813;90593;103727;109382;;125990;143169;168219;175855;;176956;187587;190480;214611;;197411;181167;157000;261137;;
0411000;"Powiat radziejowski";120594;135667;0;191333;;99545;0;0;0;;125740;0;0;145000;;0;148000;0;237667;;0;0;0;0;;99282;111430;105460;100427;;70945;80426;92273;59330;;106069;126932;89416;107332;;126329;124200;129750;168670;;119000;151000;0;107500;;
0412000;"Powiat rypiński";145560;0;169885;161592;;115020;0;144569;141207;;176100;0;192670;178386;;0;0;0;0;;0;0;0;0;;132482;167304;152616;161076;;71000;100000;89846;103779;;124193;142483;136460;152056;;175375;205692;224733;209655;;0;250000;0;225813;;
