"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";
1212000;"Powiat olkuski";466200;1218500;0;18867610;;0;0;0;3000933;;466200;988500;0;5631035;;0;0;0;7631070;;0;0;0;2604572;;
1213000;"Powiat oświęcimski";30193788;17348307;35876795;12788386;;2768226;3878213;4678556;2287945;;15224605;10482370;10979718;5750563;;11845254;2587724;14813246;4484878;;0;0;5405275;0;;
1214000;"Powiat proszowicki";0;0;0;866000;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
1215000;"Powiat suski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
1216000;"Powiat tarnowski";0;0;3294200;5842000;;0;0;0;0;;0;0;0;0;;0;0;3294200;1212000;;0;0;0;4630000;;
1217000;"Powiat tatrzański";31355092;28281800;23705339;94151248;;6848000;2221989;6501491;2552071;;10853317;5981093;6578982;38019961;;7178815;5083189;2384864;15168463;;6474960;14995529;8240002;38410753;;
1218000;"Powiat wadowicki";4968033;11512090;29786581;14601540;;0;0;8090161;0;;604038;5434100;13245682;5019941;;1830639;2652750;7752838;5021268;;2533356;3365240;0;4560331;;
1219000;"Powiat wielicki";113179182;136193275;163628368;274725445;;3985998;11280146;20952572;20932551;;33824509;72564462;86598616;129202752;;65582722;42854211;41335750;81159800;;9785953;9494456;14741430;43430342;;
1261000;"Powiat m. Kraków";2698912605;2979734467;2999680160;4265874008;;558031067;578741366;593944591;744911195;;1289073174;1352614812;1266254519;1739106451;;579516550;706262376;705128170;1081309835;;272291814;342115913;434352880;700546527;;
1262000;"Powiat m. Nowy Sącz";20607700;0;0;20890243;;2173462;0;0;5270489;;13279449;0;0;13434538;;4724789;0;0;2185216;;0;0;0;0;;
1263000;"Powiat m. Tarnów";25750449;34216082;50197820;57524087;;3925528;2694970;6106977;4440265;;9960244;14544022;20206239;24849921;;11479677;13067835;15253346;18511399;;0;3909255;8631258;9722502;;
1400000;"MAZOWIECKIE";5353654728;6237016466;8555905930;9410886892;;584499616;610953368;968005505;1047096461;;1697354542;1964997068;2660362481;2660135745;;1485305945;1825776747;2420389302;2339140367;;1586494625;1835289283;2507148642;3364514319;;
1401000;"Powiat białobrzeski";0;868000;1072024;1770000;;0;0;0;0;;0;868000;868489;1220000;;0;0;0;0;;0;0;0;0;;
1402000;"Powiat ciechanowski";23574851;50013830;81237779;36356220;;3061720;3144685;9778165;6652758;;13971044;19112098;35033987;19716042;;6542087;23671017;28998180;7497420;;0;4086030;7427447;2490000;;
1403000;"Powiat garwoliński";0;13465144;41151753;33032626;;0;2793435;8982566;4724334;;0;3496772;21544112;13046063;;0;5126933;7487955;8943929;;0;2048004;3137120;6318300;;
