"Kod";"Nazwa";"zasoby Skarbu Państwa;czynsz;2018;[zł]";"zasoby Skarbu Państwa;czynsz;2020;[zł]";"zasoby Skarbu Państwa;czynsz;2022;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2018;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2020;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2022;[zł]";"zasoby innych podmiotów;czynsz;2018;[zł]";"zasoby innych podmiotów;czynsz;2020;[zł]";"zasoby innych podmiotów;czynsz;2022;[zł]";
2803000;"Powiat działdowski";0,00;2,50;;0,00;0,00;;0,00;0,00;;
2806000;"Powiat giżycki";4,90;5,40;;9,59;13,56;;7,00;0,80;;
2807000;"Powiat iławski";0,00;2,50;;7,90;9,50;;0,00;0,00;;
2808000;"Powiat kętrzyński";0,00;0,00;;8,80;8,95;;0,00;0,00;;
2809000;"Powiat lidzbarski";4,90;5,40;;9,10;0,00;;0,00;0,00;;
2810000;"Powiat mrągowski";0,00;0,00;;8,60;8,60;;0,00;0,00;;
2812000;"Powiat nowomiejski";0,00;2,50;;0,00;0,00;;0,00;1,90;;
2813000;"Powiat olecki";0,00;0,00;;7,40;0,00;;0,00;0,00;;
2814000;"Powiat olsztyński";0,00;0,00;;9,70;12,30;;0,00;0,00;;
2815000;"Powiat ostródzki";4,90;5,40;;0,00;0,00;;0,00;0,00;;
2816000;"Powiat piski";4,90;5,40;;0,00;0,00;;0,00;0,00;;
2817000;"Powiat szczycieński";4,90;5,40;;7,50;7,50;;0,00;0,00;;
2818000;"Powiat gołdapski";4,69;5,40;;0,00;0,00;;0,00;0,00;;
2819000;"Powiat węgorzewski";4,90;5,80;;9,90;10,70;;7,80;0,00;;
2861000;"Powiat m. Elbląg";4,90;5,40;;9,02;8,48;;0,00;0,00;;
2862000;"Powiat m. Olsztyn";0,00;0,00;;10,80;12,00;;0,00;0,00;;
3000000;"WIELKOPOLSKIE";5,57;5,60;;10,41;10,72;;9,27;11,60;;
3001000;"Powiat chodzieski";0,00;0,00;;10,30;10,30;;0,00;0,00;;
3002000;"Powiat czarnkowsko-trzcianecki";0,00;0,00;;11,05;10,15;;0,00;0,00;;
3003000;"Powiat gnieźnieński";5,60;5,60;;0,00;0,00;;0,00;0,00;;
3006000;"Powiat jarociński";0,00;0,00;;8,00;9,20;;0,00;0,00;;
3008000;"Powiat kępiński";0,00;0,00;;5,30;5,90;;0,00;0,00;;
3017000;"Powiat ostrowski";0,00;0,00;;10,00;11,80;;0,00;0,00;;
3019000;"Powiat pilski";0,00;0,00;;8,74;9,53;;0,00;0,00;;
3020000;"Powiat pleszewski";0,00;0,00;;6,70;8,20;;0,00;0,00;;
3021000;"Powiat poznański";5,60;5,60;;11,08;12,01;;0,00;0,00;;
3023000;"Powiat słupecki";0,00;0,00;;11,20;12,00;;0,00;0,00;;
3024000;"Powiat szamotulski";0,00;0,00;;10,06;11,16;;0,00;0,00;;
3026000;"Powiat śremski";5,60;5,60;;12,40;8,70;;0,00;0,00;;
3028000;"Powiat wągrowiecki";0,00;0,00;;6,40;10,00;;0,00;0,00;;
3031000;"Powiat złotowski";0,00;0,00;;6,90;10,30;;0,00;0,00;;
3061000;"Powiat m. Kalisz";0,00;0,00;;8,00;8,70;;0,00;0,00;;
3062000;"Powiat m. Konin";0,00;0,00;;7,60;7,60;;0,00;0,00;;
3063000;"Powiat m. Leszno";4,30;5,60;;9,75;10,49;;0,00;0,00;;
3064000;"Powiat m. Poznań";5,60;5,60;;12,43;12,59;;9,27;11,60;;
3200000;"ZACHODNIOPOMORSKIE";1,40;5,03;;10,38;11,23;;0,00;0,70;;
3201000;"Powiat białogardzki";0,00;0,00;;4,90;9,70;;0,00;0,00;;
3202000;"Powiat choszczeński";0,00;0,00;;11,00;11,40;;0,00;0,00;;
3203000;"Powiat drawski";0,00;0,00;;9,10;9,40;;0,00;0,00;;
3204000;"Powiat goleniowski";0,00;0,00;;4,10;11,00;;0,00;0,00;;
3205000;"Powiat gryficki";0,00;0,00;;10,40;11,20;;0,00;0,00;;
3206000;"Powiat gryfiński";0,00;0,00;;11,40;11,60;;0,00;0,00;;
3207000;"Powiat kamieński";0,00;0,00;;10,90;0,00;;0,00;0,00;;
3208000;"Powiat kołobrzeski";0,00;0,00;;2,80;14,50;;0,00;0,00;;
3210000;"Powiat myśliborski";0,00;0,00;;7,10;7,30;;0,00;0,00;;
3213000;"Powiat sławieński";1,40;5,50;;0,00;0,00;;0,00;0,00;;
3214000;"Powiat stargardzki";0,00;0,00;;11,70;11,70;;0,00;0,00;;
3215000;"Powiat szczecinecki";0,00;0,00;;10,90;12,10;;0,00;0,00;;
3217000;"Powiat wałecki";0,00;9,70;;9,30;7,40;;0,00;0,00;;
3261000;"Powiat m. Koszalin";0,00;0,00;;9,50;4,70;;0,00;0,00;;
3262000;"Powiat m. Szczecin";0,00;4,90;;11,48;12,22;;0,00;0,70;;
3263000;"Powiat m. Świnoujście";0,00;2,50;;0,00;8,90;;0,00;0,00;;
